col_name,data_type,comment
STORE,string,null
DATE1,string,null
DATE2,string,null
Day,string,null
GROCERY,string,null
DAIRY,string,null
FROZEN,string,null
BOTTLE,string,null
MVPCLUB,string,null
GROCCOUP,string,null
MEAT,string,null
MEATFROZ,string,null
MEATCOUP,string,null
FISH,string,null
FISHCOUP,string,null
PROMO,string,null
PROMCOUP,string,null
PRODUCE,string,null
BULK,string,null
SALADBAR,string,null
PRODCOUP,string,null
BULKCOUP,string,null
SALCOUP,string,null
FLORAL,string,null
FLORCOUP,string,null
DELI,string,null
DELISELF,string,null
DELIEXPR,string,null
CONVFOOD,string,null
CHEESE,string,null
DELICOUP,string,null
BAKERY,string,null
PHARMACY,string,null
PHARCOUP,string,null
GM,string,null
JEWELRY,string,null
COSMETIC,string,null
HABA,string,null
GMCOUP,string,null
CAMERA,string,null
PHOTOFIN,string,null
VIDEO,string,null
VIDEOREN,string,null
VIDCOUP,string,null
BEER,string,null
WINE,string,null
SPIRITS,string,null
MISCSCP,string,null
MANCOUP,string,null
CUSTCOUN,string,null
FTGCHIN,string,null
FTGCCOUP,string,null
FTGITAL,string,null
FTGICOUP,string,null
DAIRCOUP,string,null
FROZCOUP,string,null
HABACOUP,string,null
PHOTCOUP,string,null
COSMCOUP,string,null
SSDELICP,string,null
BAKCOUP,string,null
LIQCOUP,string,null
WEEK,string,null
